orig.isocode,orig.name,orig.region,orig.majorarea,dest.isocode,dest.name,dest.name,dest.region,pop.mig (in thousands)
ALB,Albania,Southern Europe,Europe,MKD,TFYR Macedonia,Southern Europe,Europe,67.799
SRB,Serbia,Southern Europe,Europe,MKD,TFYR Macedonia,Southern Europe,Europe,17.93
BIH,Bosnia and Herzegovina,Southern Europe,Europe,MNE,Montenegro,Southern Europe,Europe,34.259
HRV,Croatia,Southern Europe,Europe,MNE,Montenegro,Southern Europe,Europe,16.344
SRB,Serbia,Southern Europe,Europe,MNE,Montenegro,Southern Europe,Europe,17.433
GRC,Greece,Southern Europe,Europe,NLD,Netherlands,Western Europe,Europe,13.959
ITA,Italy,Southern Europe,Europe,NLD,Netherlands,Western Europe,Europe,24.402
PRT,Portugal,Southern Europe,Europe,NLD,Netherlands,Western Europe,Europe,16.75
SRB,Serbia,Southern Europe,Europe,NLD,Netherlands,Western Europe,Europe,26.711
ESP,Spain,Southern Europe,Europe,NLD,Netherlands,Western Europe,Europe,24.734
BIH,Bosnia and Herzegovina,Southern Europe,Europe,NOR,Norway,Northern Europe,Europe,13.343
ESP,Spain,Southern Europe,Europe,PRT,Portugal,Southern Europe,Europe,15.339
ITA,Italy,Southern Europe,Europe,ROU,Romania,Eastern Europe,Europe,26.38
ESP,Spain,Southern Europe,Europe,ROU,Romania,Eastern Europe,Europe,22.914
BIH,Bosnia and Herzegovina,Southern Europe,Europe,SRB,Serbia,Southern Europe,Europe,335.992
HRV,Croatia,Southern Europe,Europe,SRB,Serbia,Southern Europe,Europe,283.247
MNE,Montenegro,Southern Europe,Europe,SRB,Serbia,Southern Europe,Europe,71.224
SVN,Slovenia,Southern Europe,Europe,SRB,Serbia,Southern Europe,Europe,10.93
MKD,TFYR Macedonia,Southern Europe,Europe,SRB,Serbia,Southern Europe,Europe,46.737
BIH,Bosnia and Herzegovina,Southern Europe,Europe,SVN,Slovenia,Southern Europe,Europe,105.313
HRV,Croatia,Southern Europe,Europe,SVN,Slovenia,Southern Europe,Europe,49.719
SRB,Serbia,Southern Europe,Europe,SVN,Slovenia,Southern Europe,Europe,28.334
MKD,TFYR Macedonia,Southern Europe,Europe,SVN,Slovenia,Southern Europe,Europe,16.51
BIH,Bosnia and Herzegovina,Southern Europe,Europe,SWE,Sweden,Northern Europe,Europe,58.583
GRC,Greece,Southern Europe,Europe,SWE,Sweden,Northern Europe,Europe,15.518
ITA,Italy,Southern Europe,Europe,SWE,Sweden,Northern Europe,Europe,10.242
GRC,Greece,Southern Europe,Europe,TUR,Turkey,Western Asia,Asia,59.465
MKD,TFYR Macedonia,Southern Europe,Europe,TUR,Turkey,Western Asia,Asia,144.544
ITA,Italy,Southern Europe,Europe,URY,Uruguay,South America,Latin America and the Caribbean,10.051
ESP,Spain,Southern Europe,Europe,URY,Uruguay,South America,Latin America and the Caribbean,13.224
ALB,Albania,Southern Europe,Europe,USA,United States of America,Northern America,Northern America,81.196
BIH,Bosnia and Herzegovina,Southern Europe,Europe,USA,United States of America,Northern America,Northern America,122.19
HRV,Croatia,Southern Europe,Europe,USA,United States of America,Northern America,Northern America,44.598
GRC,Greece,Southern Europe,Europe,USA,United States of America,Northern America,Northern America,141.257
ITA,Italy,Southern Europe,Europe,USA,United States of America,Northern America,Northern America,376.13
PRT,Portugal,Southern Europe,Europe,USA,United States of America,Northern America,Northern America,392.626
SRB,Serbia,Southern Europe,Europe,USA,United States of America,Northern America,Northern America,33.605
ESP,Spain,Southern Europe,Europe,USA,United States of America,Northern America,Northern America,94.364
MKD,TFYR Macedonia,Southern Europe,Europe,USA,United States of America,Northern America,Northern America,25.316
ITA,Italy,Southern Europe,Europe,VEN,Venezuela (Bolivarian Republic of),South America,Latin America and the Caribbean,51.068
PRT,Portugal,Southern Europe,Europe,VEN,Venezuela (Bolivarian Republic of),South America,Latin America and the Caribbean,54.591
ESP,Spain,Southern Europe,Europe,VEN,Venezuela (Bolivarian Republic of),South America,Latin America and the Caribbean,74.582
ITA,Italy,Southern Europe,Europe,ZAF,South Africa,Southern Africa,Africa,25.07
PRT,Portugal,Southern Europe,Europe,ZAF,South Africa,Southern Africa,Africa,48.738
EGY,Egypt,Northern Africa,Africa,ARE,United Arab Emirates,Western Asia,Asia,935.308
SDN,Sudan,Northern Africa,Africa,ARE,United Arab Emirates,Western Asia,Asia,86.981
EGY,Egypt,Northern Africa,Africa,AUS,Australia,Australia/New Zealand,Oceania,45.352
SDN,Sudan,Northern Africa,Africa,AUS,Australia,Australia/New Zealand,Oceania,23.989
EGY,Egypt,Northern Africa,Africa,AUT,Austria,Western Europe,Europe,14.891
DZA,Algeria,Northern Africa,Africa,BEL,Belgium,Western Europe,Europe,12.054
MAR,Morocco,Northern Africa,Africa,BEL,Belgium,Western Europe,Europe,93.012
EGY,Egypt,Northern Africa,Africa,BHR,Bahrain,Western Asia,Asia,80.889
SDN,Sudan,Northern Africa,Africa,CAF,Central African Republic,Middle Africa,Africa,19.546
DZA,Algeria,Northern Africa,Africa,CAN,Canada,Northern America,Northern America,57.024
EGY,Egypt,Northern Africa,Africa,CAN,Canada,Northern America,Northern America,55.927
MAR,Morocco,Northern Africa,Africa,CAN,Canada,Northern America,Northern America,63.869
SDN,Sudan,Northern Africa,Africa,CAN,Canada,Northern America,Northern America,15.221
TUN,Tunisia,Northern Africa,Africa,CAN,Canada,Northern America,Northern America,13.099
MAR,Morocco,Northern Africa,Africa,CHE,Switzerland,Western Europe,Europe,17.494
TUN,Tunisia,Northern Africa,Africa,CHE,Switzerland,Western Europe,Europe,11.153
DZA,Algeria,Northern Africa,Africa,DEU,Germany,Western Europe,Europe,23.272
EGY,Egypt,Northern Africa,Africa,DEU,Germany,Western Europe,Europe,23.35
MAR,Morocco,Northern Africa,Africa,DEU,Germany,Western Europe,Europe,114.552
TUN,Tunisia,Northern Africa,Africa,DEU,Germany,Western Europe,Europe,41.332
ESH,Western Sahara,Northern Africa,Africa,DZA,Algeria,Northern Africa,Africa,90.939
SDN,Sudan,Northern Africa,Africa,EGY,Egypt,Northern Africa,Africa,31.589
DZA,Algeria,Northern Africa,Africa,ESP,Spain,Southern Europe,Europe,55.306
MAR,Morocco,Northern Africa,Africa,ESP,Spain,Southern Europe,Europe,699.8
SDN,Sudan,Northern Africa,Africa,ETH,Ethiopia,Eastern Africa,Africa,24.539
DZA,Algeria,Northern Africa,Africa,FRA,France,Western Europe,Europe,1430.656
EGY,Egypt,Northern Africa,Africa,FRA,France,Western Europe,Europe,30.937
MAR,Morocco,Northern Africa,Africa,FRA,France,Western Europe,Europe,926.466
TUN,Tunisia,Northern Africa,Africa,FRA,France,Western Europe,Europe,388.598
DZA,Algeria,Northern Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,26.826
EGY,Egypt,Northern Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,33.686
LBY,Libya,Northern Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,17.684
MAR,Morocco,Northern Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,23.519
SDN,Sudan,Northern Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,19.758
EGY,Egypt,Northern Africa,Africa,GRC,Greece,Southern Europe,Europe,28.267
EGY,Egypt,Northern Africa,Africa,IRQ,Iraq,Western Asia,Asia,14.364
DZA,Algeria,Northern Africa,Africa,ISR,Israel,Western Asia,Asia,45.68
EGY,Egypt,Northern Africa,Africa,ISR,Israel,Western Asia,Asia,21.1
LBY,Libya,Northern Africa,Africa,ISR,Israel,Western Asia,Asia,17.273
MAR,Morocco,Northern Africa,Africa,ISR,Israel,Western Asia,Asia,163.113
TUN,Tunisia,Northern Africa,Africa,ISR,Israel,Western Asia,Asia,23.543
DZA,Algeria,Northern Africa,Africa,ITA,Italy,Southern Europe,Europe,22.471
EGY,Egypt,Northern Africa,Africa,ITA,Italy,Southern Europe,Europe,108.49
LBY,Libya,Northern Africa,Africa,ITA,Italy,Southern Europe,Europe,36.222
MAR,Morocco,Northern Africa,Africa,ITA,Italy,Southern Europe,Europe,425.238
TUN,Tunisia,Northern Africa,Africa,ITA,Italy,Southern Europe,Europe,107.671
EGY,Egypt,Northern Africa,Africa,JOR,Jordan,Western Asia,Asia,138.939
EGY,Egypt,Northern Africa,Africa,KWT,Kuwait,Western Asia,Asia,387.993
SDN,Sudan,Northern Africa,Africa,KWT,Kuwait,Western Asia,Asia,45.525
EGY,Egypt,Northern Africa,Africa,LBN,Lebanon,Western Asia,Asia,83.312
EGY,Egypt,Northern Africa,Africa,LBY,Libya,Northern Africa,Africa,21.004
SDN,Sudan,Northern Africa,Africa,LBY,Libya,Northern Africa,Africa,14.428
DZA,Algeria,Northern Africa,Africa,MAR,Morocco,Northern Africa,Africa,13.664
EGY,Egypt,Northern Africa,Africa,NLD,Netherlands,Western Europe,Europe,12.893
MAR,Morocco,Northern Africa,Africa,NLD,Netherlands,Western Europe,Europe,172.291
EGY,Egypt,Northern Africa,Africa,OMN,Oman,Western Asia,Asia,78.63
SDN,Sudan,Northern Africa,Africa,OMN,Oman,Western Asia,Asia,15.775
EGY,Egypt,Northern Africa,Africa,PSE,State of Palestine,Western Asia,Asia,18.451
EGY,Egypt,Northern Africa,Africa,QAT,Qatar,Western Asia,Asia,163.569
SDN,Sudan,Northern Africa,Africa,QAT,Qatar,Western Asia,Asia,18.583
EGY,Egypt,Northern Africa,Africa,SAU,Saudi Arabia,Western Asia,Asia,728.608
SDN,Sudan,Northern Africa,Africa,SAU,Saudi Arabia,Western Asia,Asia,364.304
EGY,Egypt,Northern Africa,Africa,SDN,Sudan,Northern Africa,Africa,13.423
SDN,Sudan,Northern Africa,Africa,SSD,South Sudan,Eastern Africa,Africa,552.391
SDN,Sudan,Northern Africa,Africa,TCD,Chad,Middle Africa,Africa,363.465
DZA,Algeria,Northern Africa,Africa,TUN,Tunisia,Northern Africa,Africa,10.443
SDN,Sudan,Northern Africa,Africa,UGA,Uganda,Eastern Africa,Africa,164.136
DZA,Algeria,Northern Africa,Africa,USA,United States of America,Northern America,Northern America,17.7
EGY,Egypt,Northern Africa,Africa,USA,United States of America,Northern America,Northern America,159.562
MAR,Morocco,Northern Africa,Africa,USA,United States of America,Northern America,Northern America,62.51
SDN,Sudan,Northern Africa,Africa,USA,United States of America,Northern America,Northern America,42.306
TUN,Tunisia,Northern Africa,Africa,USA,United States of America,Northern America,Northern America,10.295
EGY,Egypt,Northern Africa,Africa,YEM,Yemen,Western Asia,Asia,11.096
SDN,Sudan,Northern Africa,Africa,YEM,Yemen,Western Asia,Asia,27.082
CPV,Cabo Verde,Western Africa,Africa,AGO,Angola,Middle Africa,Africa,10.459
NGA,Nigeria,Western Africa,Africa,ARE,United Arab Emirates,Western Asia,Asia,22.572
GIN,Guinea,Western Africa,Africa,BEL,Belgium,Western Europe,Europe,12.274
CIV,C?te d'Ivoire,Western Africa,Africa,BEN,Benin,Western Africa,Africa,13.742
GHA,Ghana,Western Africa,Africa,BEN,Benin,Western Africa,Africa,10.211
NER,Niger,Western Africa,Africa,BEN,Benin,Western Africa,Africa,75.775
NGA,Nigeria,Western Africa,Africa,BEN,Benin,Western Africa,Africa,44.603
TGO,Togo,Western Africa,Africa,BEN,Benin,Western Africa,Africa,48.118
CIV,C?te d'Ivoire,Western Africa,Africa,BFA,Burkina Faso,Western Africa,Africa,540.779
GHA,Ghana,Western Africa,Africa,BFA,Burkina Faso,Western Africa,Africa,32.217
MLI,Mali,Western Africa,Africa,BFA,Burkina Faso,Western Africa,Africa,43.815
NER,Niger,Western Africa,Africa,BFA,Burkina Faso,Western Africa,Africa,12.757
TGO,Togo,Western Africa,Africa,BFA,Burkina Faso,Western Africa,Africa,15.393
GHA,Ghana,Western Africa,Africa,CAN,Canada,Northern America,Northern America,23.868
NGA,Nigeria,Western Africa,Africa,CAN,Canada,Northern America,Northern America,34.432
BEN,Benin,Western Africa,Africa,CIV,C?te d'Ivoire,Western Africa,Africa,54.068
BFA,Burkina Faso,Western Africa,Africa,CIV,C?te d'Ivoire,Western Africa,Africa,1294.323
GHA,Ghana,Western Africa,Africa,CIV,C?te d'Ivoire,Western Africa,Africa,42.749
GIN,Guinea,Western Africa,Africa,CIV,C?te d'Ivoire,Western Africa,Africa,94.98
LBR,Liberia,Western Africa,Africa,CIV,C?te d'Ivoire,Western Africa,Africa,82.428
MLI,Mali,Western Africa,Africa,CIV,C?te d'Ivoire,Western Africa,Africa,356.019
NER,Niger,Western Africa,Africa,CIV,C?te d'Ivoire,Western Africa,Africa,49.783
NGA,Nigeria,Western Africa,Africa,CIV,C?te d'Ivoire,Western Africa,Africa,38.917
SEN,Senegal,Western Africa,Africa,CIV,C?te d'Ivoire,Western Africa,Africa,18.994
TGO,Togo,Western Africa,Africa,CIV,C?te d'Ivoire,Western Africa,Africa,50.328
NGA,Nigeria,Western Africa,Africa,CMR,Cameroon,Middle Africa,Africa,81.676
BEN,Benin,Western Africa,Africa,COG,Congo,Middle Africa,Africa,15.194
MLI,Mali,Western Africa,Africa,COG,Congo,Middle Africa,Africa,33.918
SEN,Senegal,Western Africa,Africa,COG,Congo,Middle Africa,Africa,13.265
GHA,Ghana,Western Africa,Africa,DEU,Germany,Western Europe,Europe,30.143
NGA,Nigeria,Western Africa,Africa,DEU,Germany,Western Europe,Europe,26.623
TGO,Togo,Western Africa,Africa,DEU,Germany,Western Europe,Europe,14.251
GMB,Gambia,Western Africa,Africa,ESP,Spain,Southern Europe,Europe,16.954
GHA,Ghana,Western Africa,Africa,ESP,Spain,Southern Europe,Europe,12.033
MLI,Mali,Western Africa,Africa,ESP,Spain,Southern Europe,Europe,17.771
NGA,Nigeria,Western Africa,Africa,ESP,Spain,Southern Europe,Europe,30.995
SEN,Senegal,Western Africa,Africa,ESP,Spain,Southern Europe,Europe,49.383
BEN,Benin,Western Africa,Africa,FRA,France,Western Europe,Europe,20.414
CPV,Cabo Verde,Western Africa,Africa,FRA,France,Western Europe,Europe,22.292
CIV,C?te d'Ivoire,Western Africa,Africa,FRA,France,Western Europe,Europe,89.937
GIN,Guinea,Western Africa,Africa,FRA,France,Western Europe,Europe,30.209
MLI,Mali,Western Africa,Africa,FRA,France,Western Europe,Europe,75.555
MRT,Mauritania,Western Africa,Africa,FRA,France,Western Europe,Europe,17.768
SEN,Senegal,Western Africa,Africa,FRA,France,Western Europe,Europe,117.87
TGO,Togo,Western Africa,Africa,FRA,France,Western Europe,Europe,23.763
BEN,Benin,Western Africa,Africa,GAB,Gabon,Middle Africa,Africa,33.794
MLI,Mali,Western Africa,Africa,GAB,Gabon,Middle Africa,Africa,35.709
NGA,Nigeria,Western Africa,Africa,GAB,Gabon,Middle Africa,Africa,15.479
SEN,Senegal,Western Africa,Africa,GAB,Gabon,Middle Africa,Africa,19.746
TGO,Togo,Western Africa,Africa,GAB,Gabon,Middle Africa,Africa,14.9
GMB,Gambia,Western Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,12.194
GHA,Ghana,Western Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,102.837
NGA,Nigeria,Western Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,216.268
SLE,Sierra Leone,Western Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,25.281
BEN,Benin,Western Africa,Africa,GHA,Ghana,Western Africa,Africa,16.551
BFA,Burkina Faso,Western Africa,Africa,GHA,Ghana,Western Africa,Africa,57.733
CIV,C?te d'Ivoire,Western Africa,Africa,GHA,Ghana,Western Africa,Africa,30.359
LBR,Liberia,Western Africa,Africa,GHA,Ghana,Western Africa,Africa,27.689
NGA,Nigeria,Western Africa,Africa,GHA,Ghana,Western Africa,Africa,67.629
TGO,Togo,Western Africa,Africa,GHA,Ghana,Western Africa,Africa,87.494
CIV,C?te d'Ivoire,Western Africa,Africa,GIN,Guinea,Western Africa,Africa,13.608
GNB,Guinea-Bissau,Western Africa,Africa,GIN,Guinea,Western Africa,Africa,11.011
LBR,Liberia,Western Africa,Africa,GIN,Guinea,Western Africa,Africa,32.706
MLI,Mali,Western Africa,Africa,GIN,Guinea,Western Africa,Africa,61.197
SEN,Senegal,Western Africa,Africa,GIN,Guinea,Western Africa,Africa,26.64
SLE,Sierra Leone,Western Africa,Africa,GIN,Guinea,Western Africa,Africa,15.098
GIN,Guinea,Western Africa,Africa,GMB,Gambia,Western Africa,Africa,40.369
GNB,Guinea-Bissau,Western Africa,Africa,GMB,Gambia,Western Africa,Africa,12.328
SEN,Senegal,Western Africa,Africa,GMB,Gambia,Western Africa,Africa,118.452
SEN,Senegal,Western Africa,Africa,GNB,Guinea-Bissau,Western Africa,Africa,11.087
NGA,Nigeria,Western Africa,Africa,IRL,Ireland,Northern Europe,Europe,21.894
BFA,Burkina Faso,Western Africa,Africa,ITA,Italy,Southern Europe,Europe,11.657
CIV,C?te d'Ivoire,Western Africa,Africa,ITA,Italy,Southern Europe,Europe,25.555
GHA,Ghana,Western Africa,Africa,ITA,Italy,Southern Europe,Europe,46.548
NGA,Nigeria,Western Africa,Africa,ITA,Italy,Southern Europe,Europe,56.259
SEN,Senegal,Western Africa,Africa,ITA,Italy,Southern Europe,Europe,84.815
CIV,C?te d'Ivoire,Western Africa,Africa,LBR,Liberia,Western Africa,Africa,40.985
GIN,Guinea,Western Africa,Africa,LBR,Liberia,Western Africa,Africa,37.38
SLE,Sierra Leone,Western Africa,Africa,LBR,Liberia,Western Africa,Africa,11.413
BFA,Burkina Faso,Western Africa,Africa,MLI,Mali,Western Africa,Africa,23.922
CIV,C?te d'Ivoire,Western Africa,Africa,MLI,Mali,Western Africa,Africa,20.144
GHA,Ghana,Western Africa,Africa,MLI,Mali,Western Africa,Africa,18.561
GIN,Guinea,Western Africa,Africa,MLI,Mali,Western Africa,Africa,17.762
MRT,Mauritania,Western Africa,Africa,MLI,Mali,Western Africa,Africa,17.189
NGA,Nigeria,Western Africa,Africa,MLI,Mali,Western Africa,Africa,11.84
MLI,Mali,Western Africa,Africa,MRT,Mauritania,Western Africa,Africa,56.557
SEN,Senegal,Western Africa,Africa,MRT,Mauritania,Western Africa,Africa,38.574
BEN,Benin,Western Africa,Africa,NER,Niger,Western Africa,Africa,17.908
BFA,Burkina Faso,Western Africa,Africa,NER,Niger,Western Africa,Africa,19.323
MLI,Mali,Western Africa,Africa,NER,Niger,Western Africa,Africa,84.64
NGA,Nigeria,Western Africa,Africa,NER,Niger,Western Africa,Africa,19.436
BEN,Benin,Western Africa,Africa,NGA,Nigeria,Western Africa,Africa,351.985
GHA,Ghana,Western Africa,Africa,NGA,Nigeria,Western Africa,Africa,222.377
LBR,Liberia,Western Africa,Africa,NGA,Nigeria,Western Africa,Africa,20.541
MLI,Mali,Western Africa,Africa,NGA,Nigeria,Western Africa,Africa,160.967
NER,Niger,Western Africa,Africa,NGA,Nigeria,Western Africa,Africa,112.733
TGO,Togo,Western Africa,Africa,NGA,Nigeria,Western Africa,Africa,147.698
CPV,Cabo Verde,Western Africa,Africa,NLD,Netherlands,Western Europe,Europe,11.997
GHA,Ghana,Western Africa,Africa,NLD,Netherlands,Western Europe,Europe,14.212
CPV,Cabo Verde,Western Africa,Africa,PRT,Portugal,Southern Europe,Europe,57.636
GNB,Guinea-Bissau,Western Africa,Africa,PRT,Portugal,Southern Europe,Europe,27.517
NGA,Nigeria,Western Africa,Africa,SDN,Sudan,Northern Africa,Africa,14.828
GIN,Guinea,Western Africa,Africa,SEN,Senegal,Western Africa,Africa,49.78
GNB,Guinea-Bissau,Western Africa,Africa,SEN,Senegal,Western Africa,Africa,28.501
MLI,Mali,Western Africa,Africa,SEN,Senegal,Western Africa,Africa,32.93
MRT,Mauritania,Western Africa,Africa,SEN,Senegal,Western Africa,Africa,51.49
SLE,Sierra Leone,Western Africa,Africa,SEN,Senegal,Western Africa,Africa,14.398
GIN,Guinea,Western Africa,Africa,SLE,Sierra Leone,Western Africa,Africa,68.467
BEN,Benin,Western Africa,Africa,TGO,Togo,Western Africa,Africa,71.438
BFA,Burkina Faso,Western Africa,Africa,TGO,Togo,Western Africa,Africa,13.601
GHA,Ghana,Western Africa,Africa,TGO,Togo,Western Africa,Africa,46.794
NER,Niger,Western Africa,Africa,TGO,Togo,Western Africa,Africa,65.529
NGA,Nigeria,Western Africa,Africa,TGO,Togo,Western Africa,Africa,31.974
CPV,Cabo Verde,Western Africa,Africa,USA,United States of America,Northern America,Northern America,35.228
CIV,C?te d'Ivoire,Western Africa,Africa,USA,United States of America,Northern America,Northern America,25.976
GMB,Gambia,Western Africa,Africa,USA,United States of America,Northern America,Northern America,20.877
GHA,Ghana,Western Africa,Africa,USA,United States of America,Northern America,Northern America,134.338
GIN,Guinea,Western Africa,Africa,USA,United States of America,Northern America,Northern America,18.331
LBR,Liberia,Western Africa,Africa,USA,United States of America,Northern America,Northern America,75.408
NGA,Nigeria,Western Africa,Africa,USA,United States of America,Northern America,Northern America,237.221
SEN,Senegal,Western Africa,Africa,USA,United States of America,Northern America,Northern America,38.148
SLE,Sierra Leone,Western Africa,Africa,USA,United States of America,Northern America,Northern America,36.561
NGA,Nigeria,Western Africa,Africa,ZAF,South Africa,Southern Africa,Africa,17.753
COD,Democratic Republic of the Congo,Middle Africa,Africa,AGO,Angola,Middle Africa,Africa,43.192
COD,Democratic Republic of the Congo,Middle Africa,Africa,BDI,Burundi,Eastern Africa,Africa,167.768
CMR,Cameroon,Middle Africa,Africa,BEL,Belgium,Western Europe,Europe,12.295
COD,Democratic Republic of the Congo,Middle Africa,Africa,BEL,Belgium,Western Europe,Europe,26.488
TCD,Chad,Middle Africa,Africa,CAF,Central African Republic,Middle Africa,Africa,10.029
COD,Democratic Republic of the Congo,Middle Africa,Africa,CAF,Central African Republic,Middle Africa,Africa,17.219
COD,Democratic Republic of the Congo,Middle Africa,Africa,CAN,Canada,Northern America,Northern America,21.594
CAF,Central African Republic,Middle Africa,Africa,CMR,Cameroon,Middle Africa,Africa,201.957
TCD,Chad,Middle Africa,Africa,CMR,Cameroon,Middle Africa,Africa,54.16
AGO,Angola,Middle Africa,Africa,COD,Democratic Republic of the Congo,Middle Africa,Africa,185.205
CAF,Central African Republic,Middle Africa,Africa,COD,Democratic Republic of the Congo,Middle Africa,Africa,73.094
AGO,Angola,Middle Africa,Africa,COG,Congo,Middle Africa,Africa,41.238
CMR,Cameroon,Middle Africa,Africa,COG,Congo,Middle Africa,Africa,11.3
CAF,Central African Republic,Middle Africa,Africa,COG,Congo,Middle Africa,Africa,32.696
TCD,Chad,Middle Africa,Africa,COG,Congo,Middle Africa,Africa,10.565
COD,Democratic Republic of the Congo,Middle Africa,Africa,COG,Congo,Middle Africa,Africa,170.368
CMR,Cameroon,Middle Africa,Africa,DEU,Germany,Western Europe,Europe,19.897
GNQ,Equatorial Guinea,Middle Africa,Africa,ESP,Spain,Southern Europe,Europe,18.841
AGO,Angola,Middle Africa,Africa,FRA,France,Western Europe,Europe,21.287
CMR,Cameroon,Middle Africa,Africa,FRA,France,Western Europe,Europe,81.278
CAF,Central African Republic,Middle Africa,Africa,FRA,France,Western Europe,Europe,16.719
COG,Congo,Middle Africa,Africa,FRA,France,Western Europe,Europe,69.474
COD,Democratic Republic of the Congo,Middle Africa,Africa,FRA,France,Western Europe,Europe,76.723
GAB,Gabon,Middle Africa,Africa,FRA,France,Western Europe,Europe,19.78
CMR,Cameroon,Middle Africa,Africa,GAB,Gabon,Middle Africa,Africa,32.792
COG,Congo,Middle Africa,Africa,GAB,Gabon,Middle Africa,Africa,10.564
GNQ,Equatorial Guinea,Middle Africa,Africa,GAB,Gabon,Middle Africa,Africa,56.283
AGO,Angola,Middle Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,15.712
CMR,Cameroon,Middle Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,11.009
COD,Democratic Republic of the Congo,Middle Africa,Africa,GBR,United Kingdom,Northern Europe,Europe,20.971
CMR,Cameroon,Middle Africa,Africa,ITA,Italy,Southern Europe,Europe,11.457
COD,Democratic Republic of the Congo,Middle Africa,Africa,KEN,Kenya,Eastern Africa,Africa,11.292
COG,Congo,Middle Africa,Africa,MLI,Mali,Western Africa,Africa,29.972
GAB,Gabon,Middle Africa,Africa,MLI,Mali,Western Africa,Africa,33.255
AGO,Angola,Middle Africa,Africa,NAM,Namibia,Southern Africa,Africa,33.98
CMR,Cameroon,Middle Africa,Africa,NGA,Nigeria,Western Africa,Africa,26.893
TCD,Chad,Middle Africa,Africa,NGA,Nigeria,Western Africa,Africa,29.175
AGO,Angola,Middle Africa,Africa,PRT,Portugal,Southern Europe,Europe,151.273
STP,Sao Tome and Principe,Middle Africa,Africa,PRT,Portugal,Southern Europe,Europe,17.345
COD,Democratic Republic of the Congo,Middle Africa,Africa,RWA,Rwanda,Eastern Africa,Africa,230.622
CAF,Central African Republic,Middle Africa,Africa,SDN,Sudan,Northern Africa,Africa,13.489
TCD,Chad,Middle Africa,Africa,SDN,Sudan,Northern Africa,Africa,74.514
COD,Democratic Republic of the Congo,Middle Africa,Africa,SSD,South Sudan,Eastern Africa,Africa,82.755
CMR,Cameroon,Middle Africa,Africa,TCD,Chad,Middle Africa,Africa,36.938
CAF,Central African Republic,Middle Africa,Africa,TCD,Chad,Middle Africa,Africa,93.259
COG,Congo,Middle Africa,Africa,TZA,United Republic of Tanzania,Eastern Africa,Africa,25.017
COD,Democratic Republic of the Congo,Middle Africa,Africa,TZA,United Republic of Tanzania,Eastern Africa,Africa,58.25
COD,Democratic Republic of the Congo,Middle Africa,Africa,UGA,Uganda,Eastern Africa,Africa,303.58
AGO,Angola,Middle Africa,Africa,USA,United States of America,Northern America,Northern America,12.683
CMR,Cameroon,Middle Africa,Africa,USA,United States of America,Northern America,Northern America,41.242
COD,Democratic Republic of the Congo,Middle Africa,Africa,USA,United States of America,Northern America,Northern America,23.043
AGO,Angola,Middle Africa,Africa,ZAF,South Africa,Southern Africa,Africa,30.268
COG,Congo,Middle Africa,Africa,ZAF,South Africa,Southern Africa,Africa,21.955
COD,Democratic Republic of the Congo,Middle Africa,Africa,ZAF,South Africa,Southern Africa,Africa,70.077
AGO,Angola,Middle Africa,Africa,ZMB,Zambia,Eastern Africa,Africa,17.464
COD,Democratic Republic of the Congo,Middle Africa,Africa,ZMB,Zambia,Eastern Africa,Africa,13.409
ERI,Eritrea,Eastern Africa,Africa,ARE,United Arab Emirates,Western Asia,Asia,17.916
ETH,Ethiopia,Eastern Africa,Africa,AUS,Australia,Australia/New Zealand,Oceania,11.446
KEN,Kenya,Eastern Africa,Africa,AUS,Australia,Australia/New Zealand,Oceania,17.85
MUS,Mauritius,Eastern Africa,Africa,AUS,Australia,Australia/New Zealand,Oceania,28.779
ZWE,Zimbabwe,Eastern Africa,Africa,AUS,Australia,Australia/New Zealand,Oceania,38.843
RWA,Rwanda,Eastern Africa,Africa,BDI,Burundi,Eastern Africa,Africa,64.363
TZA,United Republic of Tanzania,Eastern Africa,Africa,BDI,Burundi,Eastern Africa,Africa,28.008
ZMB,Zambia,Eastern Africa,Africa,BWA,Botswana,Southern Africa,Africa,12.833
ZWE,Zimbabwe,Eastern Africa,Africa,BWA,Botswana,Southern Africa,Africa,31.625
ETH,Ethiopia,Eastern Africa,Africa,CAN,Canada,Northern America,Northern America,27.608
KEN,Kenya,Eastern Africa,Africa,CAN,Canada,Northern America,Northern America,27.929
MUS,Mauritius,Eastern Africa,Africa,CAN,Canada,Northern America,Northern America,14.775
SOM,Somalia,Eastern Africa,Africa,CAN,Canada,Northern America,Northern America,24.747
UGA,Uganda,Eastern Africa,Africa,CAN,Canada,Northern America,Northern America,13.191
TZA,United Republic of Tanzania,Eastern Africa,Africa,CAN,Canada,Northern America,Northern America,21.61
ZWE,Zimbabwe,Eastern Africa,Africa,CAN,Canada,Northern America,Northern America,11.118
